ID	N1	N2	N3	CA4	CA5	CA6	N7	N8	N9	N10	CA11	CA12	CA13	CA14
NM_000015	1	4	9	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000025	1	0	5	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000030	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000032	2	1	9	11	5	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000035	16	4	16	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000039	0	1	1	3	11	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000040	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000042	1	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000045	0	2	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000047	31	13	12	2	8	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000054	24	6	21	1	6	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000066	13	19	28	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000068	27	25	55	6	4	32	NA	NA	NA	NA	NA	NA	NA	NA
NM_000069	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000078	3	1	46	4	1	6	NA	NA	NA	NA	NA	NA	NA	NA
NM_000079	6	7	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000080	93	50	172	112	180	176	NA	NA	NA	NA	NA	NA	NA	NA
NM_000083	2	0	3	17	31	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000085	6	3	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000102	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000103	3	3	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000106	6	7	13	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000111	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000119	0	0	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000131	4	3	12	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000133	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000134	18	2	122	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000145	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000151	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000160	0	0	0	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000162	7	8	16	2	67	19	NA	NA	NA	NA	NA	NA	NA	NA
NM_000164	17	7	43	8	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000170	7	5	38	5	0	15	NA	NA	NA	NA	NA	NA	NA	NA
NM_000171	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000172	0	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000173	6	8	57	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000174	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000180	0	0	2	2	21	13	NA	NA	NA	NA	NA	NA	NA	NA
NM_000184	1	23	11	226	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000185	0	0	0	2	0	6	NA	NA	NA	NA	NA	NA	NA	NA
NM_000192	1	1	48	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000197	4	5	2	8	2	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000198	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000200	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000207	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000209	0	0	0	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000217	0	1	3	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000220	1	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000223	0	2	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000226	0	0	0	6	3	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000231	0	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000233	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000236	3	17	12	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000242	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000250	4	0	1	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000253	0	3	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000256	0	2	0	6	6	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000257	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000258	10	6	19	2	5	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000261	9	7	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000277	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000290	8	9	29	11	172	24	NA	NA	NA	NA	NA	NA	NA	NA
NM_000298	9	3	10	10	7	30	NA	NA	NA	NA	NA	NA	NA	NA
NM_000300	0	0	109	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000301	5	9	13	1	2	9	NA	NA	NA	NA	NA	NA	NA	NA
NM_000306	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000307	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000312	12	6	15	7	25	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000315	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000324	0	1	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000326	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000329	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000330	0	1	9	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000334	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000338	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000339	3	2	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000340	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
