"Sample","Group"
"GSM4587856","HPV16"
"GSM4587857","HPV18"
"GSM4587858","HPV16"
"GSM4587859","HPV16"
"GSM4587860","none"
"GSM4587861","HPV16"
"GSM4587862","HPV16"
"GSM4587863","HPV58"
"GSM4587864","HPV16"
"GSM4587865","HPV52"
"GSM4587866","HPV16"
"GSM4587867","HPV33"
"GSM4587868","HPV18"
"GSM4587869","HPV16"
"GSM4587870","HPV18"
"GSM4587871","HPV16"
"GSM4587872","HPV16"
"GSM4587873","none"
"GSM4587874","HPV59"
"GSM4587875","HPV33"
"GSM4587876","HPV16"
"GSM4587877","none"
"GSM4587878","HPV45"
"GSM4587879","HPV16"
"GSM4587880","HPV59"
"GSM4587881","HPV16"
"GSM4587882","HPV16"
"GSM4587883","HPV16"
"GSM4587884","none"
"GSM4587885","none"
"GSM4587886","none"
"GSM4587887","HPV16"
"GSM4587888","HPV16"
"GSM4587889","HPV16, HPV18"
"GSM4587890","HPV16"
"GSM4587891","HPV16"
"GSM4587892","HPV16"
"GSM4587893","HPV16"
"GSM4587894","HPV16"
"GSM4587895","HPV18"
"GSM4587896","HPV18"
"GSM4587897","HPV16"
"GSM4587898","HPV16"
"GSM4587899","HPV16"
"GSM4587900","HPV16"
"GSM4587901","HPV16"
"GSM4587902","HPV18"
"GSM4587903","HPV16"
"GSM4587904","HPV33"
"GSM4587905","HPV33"
"GSM4587906","HPV16"
"GSM4587907","HPV31"
"GSM4587908","HPV52"
"GSM4587909","HPV16"
"GSM4587910","none"
"GSM4587911","HPV16"
"GSM4587912","none"
"GSM4587913","none"
"GSM4587914","HPV18"
"GSM4587915","HPV56"
"GSM4587916","HPV16"
"GSM4587917","none"
"GSM4587918","HPV16"
"GSM4587919","HPV16"
"GSM4587920","HPV16"
"GSM4587921","HPV16"
"GSM4587922","HPV16, HPV66"
"GSM4587923","HPV16"
