GeneID	GSM5260027	GSM5260028	GSM5260029	GSM5260030	GSM5260031	GSM5260032	GSM5260033	GSM5260034	GSM5260035	GSM5260036	GSM5260037	GSM5260038	GSM5260039	GSM5260040	GSM5260041	GSM5260042	GSM5260043	GSM5260044
100287102	14	12	7	38	46	10	1	2	1	5	1	1	1	1	2	4	2	2
653635	774	296	559	241	119	306	735	764	580	762	630	636	967	835	1045	877	1020	1227
102466751	24	10	14	18	13	25	25	19	12	16	13	19	40	30	48	37	40	49
107985730	0	2	2	7	14	1	0	0	1	0	2	0	1	2	0	1	2	3
100302278	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0
645520	1	6	5	15	57	6	0	1	0	0	0	1	0	0	0	0	0	0
79501	4	2	1	14	23	5	0	0	0	0	0	0	0	0	0	0	0	0
100996442	115	94	106	155	112	91	8	7	3	7	4	12	40	46	50	39	43	40
729737	148	118	152	121	131	39	33	28	28	35	35	30	293	234	338	268	303	377
102725121	11	12	11	45	76	30	4	3	2	5	1	2	2	0	0	1	2	1
102723897	729	308	534	285	110	228	461	490	421	496	399	461	959	810	991	865	994	1142
102465909	11	5	7	9	3	6	16	11	9	12	8	8	15	18	21	22	19	27
107985721	1	11	9	25	43	6	0	0	1	0	0	2	0	0	1	3	1	3
112268260	16	34	18	86	120	54	9	16	14	9	9	12	7	11	9	8	9	10
729759	0	2	0	7	11	0	0	1	0	0	0	0	0	0	0	1	0	0
100132287	78	56	65	94	76	21	102	87	87	108	90	93	374	308	436	383	417	511
105378947	1	4	1	27	12	3	1	5	1	1	1	1	3	3	1	1	1	3
101928626	0	1	0	9	6	2	0	0	0	0	0	0	0	0	0	0	0	0
113219467	392	396	329	78	35	78	501	402	347	600	388	455	281	225	249	334	347	404
81399	5	39	8	42	60	11	11	6	4	7	3	4	13	11	12	11	14	19
100133331	61	71	72	67	60	22	165	129	113	170	143	100	482	413	532	507	497	619
107984841	45	41	46	37	17	21	43	35	32	47	34	44	125	105	137	114	153	165
107984847	42	54	60	68	46	34	47	53	34	52	50	40	83	68	110	77	105	133
107984849	19	16	25	12	13	5	9	8	5	11	10	8	41	34	51	39	48	57
100288069	71	138	88	106	57	40	58	61	41	53	36	36	238	181	258	175	243	255
105378580	174	202	130	95	65	55	31	32	20	32	33	28	37	39	45	33	42	47
400728	49	35	31	52	28	47	10	9	7	13	6	10	12	9	14	23	19	18
79854	95	52	41	40	12	25	91	56	36	79	34	60	58	35	47	43	44	45
643837	444	618	301	316	165	265	575	555	444	512	412	481	596	516	622	458	473	585
107984850	2	5	3	15	40	1	6	1	1	4	1	2	2	1	2	3	0	0
284593	3	7	5	10	40	4	0	0	0	1	1	1	4	1	5	1	0	2
284600	16	10	16	44	67	10	226	248	223	313	262	290	317	279	295	337	410	390
100130417	4	10	5	53	42	12	387	283	224	528	320	353	1372	1222	1360	1896	2080	1937
107985728	36	25	21	122	42	43	440	267	264	687	367	380	1575	1375	1702	2164	2232	2781
148398	224	132	123	264	82	126	2258	1277	1266	2624	1627	1431	2811	2433	2789	3051	3445	3923
26155	2315	1510	1236	988	180	1091	5934	5592	4765	7084	5367	5491	4678	4087	4697	4077	4307	4818
339451	217	103	187	141	50	82	1058	1061	1036	1591	1137	1210	796	721	804	756	695	864
84069	178	202	165	267	87	148	193	247	230	254	281	208	710	631	897	662	703	820
84808	27	53	43	93	71	49	44	50	37	63	49	57	103	78	118	97	97	104
57801	1258	1023	705	171	58	147	951	739	1166	2001	1346	1304	1056	902	1375	727	919	2040
9636	3909	1137	1245	163	28	233	393	520	457	648	589	545	43731	36261	43875	24472	24042	30494
375790	3801	2462	3396	1802	358	1851	16308	17441	14075	22317	19358	18633	20226	18007	23256	15791	16917	18917
100288175	19	29	14	38	18	29	89	264	228	162	277	294	72	64	80	44	58	77
112267874	38	118	21	115	39	63	67	99	88	84	119	104	36	36	38	27	20	36
105378948	63	69	34	154	36	145	126	180	136	153	184	209	65	55	77	58	61	70
401934	138	248	52	137	42	117	42	73	68	39	86	74	73	76	104	49	45	58
54991	357	238	225	160	99	66	786	867	838	993	786	818	699	633	627	580	621	688
254099	3	5	3	34	35	8	1	0	0	2	0	2	0	0	0	0	0	0
406984	13	26	9	10	1	0	3	0	0	0	0	0	0	0	0	0	0	0
406983	17	19	9	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	17	12	7	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	11	6	10	37	46	11	6	0	0	2	0	0	0	1	0	0	0	1
254173	41	75	32	77	102	29	17	2	0	2	0	0	3	1	0	1	2	0
8784	506	126	335	86	34	124	8	3	1	4	2	2	0	9	4	4	7	5
7293	395	115	278	72	57	46	13	9	10	5	3	8	10	7	1	12	3	3
51150	3184	2088	2088	1331	246	1558	5437	4844	4657	6635	4882	5103	6387	5321	6662	5335	5936	7378
126792	579	377	314	252	73	383	931	776	977	1307	864	879	832	697	706	638	737	1008
388581	20	11	18	38	45	25	88	127	94	187	147	154	15	8	12	12	11	20
118424	829	603	624	509	154	409	1992	1821	1690	2066	1755	1835	1957	1717	2134	1650	1896	2149
101928895	62	33	42	40	25	26	45	70	101	68	65	89	49	43	67	53	49	71
6339	95	61	63	121	74	33	175	158	142	140	144	119	132	125	119	146	137	152
116983	1629	975	1237	1569	287	913	3697	3150	2826	4637	3349	3298	2145	1873	2191	1941	2225	2508
102465434	1	0	1	2	1	0	4	2	3	9	8	4	2	3	1	3	1	2
109623456	14	9	18	9	3	4	19	21	13	24	21	27	13	10	13	7	12	13
126789	364	174	232	95	36	85	991	935	853	1116	856	837	454	373	432	405	428	500
54973	2206	1335	1342	789	193	831	2708	2547	2186	2862	2410	2417	2753	2422	2638	2428	2530	2811
102465435	10	4	8	2	3	0	21	12	11	18	13	21	18	21	19	16	16	23
80772	633	336	325	278	55	188	1087	1209	1141	1149	996	1052	1145	1053	1108	979	1053	1155
83756	103	61	73	109	50	111	196	248	222	214	196	272	69	52	52	59	67	70
1855	2411	1444	1289	1242	237	1199	3739	5483	4862	4728	4275	4656	2385	1964	2247	1794	1807	2008
102466740	9	6	6	4	1	1	20	27	25	21	20	19	12	13	11	12	8	11
54587	3554	1783	2246	1155	210	874	352	516	477	675	570	509	166	165	194	223	234	264
54998	1651	603	855	466	89	568	2809	2500	2517	3210	2319	2457	2011	1735	1842	1855	1817	2076
81669	3803	3927	3287	2285	266	1666	3986	3881	3243	4518	3440	3501	6160	5567	6869	6259	6559	7497
148413	733	294	420	255	74	417	605	551	463	758	520	491	745	591	676	690	750	910
55052	1398	926	699	687	186	1165	1999	1671	1500	2031	1465	1567	1363	1238	1340	1275	1379	1456
107984868	24	8	10	22	59	12	1	0	0	1	0	0	1	0	1	0	1	1
441869	523	165	242	71	47	94	0	0	0	0	1	0	14	8	17	10	12	11
105378585	25	12	22	17	26	17	0	0	0	0	1	0	3	2	2	0	3	1
643965	4	7	1	6	7	4	0	0	0	0	0	0	0	0	0	0	0	0
102724312	40	35	26	26	27	25	0	0	0	1	0	0	0	0	0	0	0	0
107985729	43	67	24	37	30	25	0	0	0	1	0	0	0	0	0	0	0	0
64856	2013	1228	1306	487	87	543	2	0	5	9	2	1	0	0	0	0	0	0
219293	65	42	31	74	69	33	38	37	36	48	34	30	33	33	37	28	23	42
83858	1034	1110	773	682	157	495	2960	2175	1982	2888	1801	1922	2661	2334	2760	1719	2038	2518
55210	1021	639	626	447	105	358	3272	2783	2610	3677	2565	2649	2316	1961	2209	1657	1944	2409
339453	35	26	31	20	14	20	7	6	5	12	16	4	27	18	19	38	28	26
29101	1650	1520	999	945	154	1016	2002	1701	1842	2570	1579	1684	2138	2003	2001	1728	1773	2732
643988	127	78	57	46	11	15	144	233	211	266	206	182	596	569	551	555	654	723
105378586	13	13	13	11	4	8	21	20	34	33	28	31	88	69	80	94	96	120
142678	2091	1206	1293	937	264	666	1036	814	833	1204	767	817	3040	2551	3161	2801	3084	3662
8510	298	198	178	76	27	55	79	56	58	85	53	53	239	234	244	196	221	283
984	1282	1184	896	840	208	895	2364	1963	1629	2277	1598	1877	2727	2416	2938	2348	2663	3177
728661	1601	1334	1224	925	194	673	1556	1697	1622	1728	1443	1588	3969	3341	4360	3664	4092	4659
8511	163	104	102	49	6	46	21	16	11	22	8	12	92	87	109	84	110	107
728642	836	770	630	556	92	398	1519	1330	1070	1490	1065	1217	2354	2060	2578	1927	2222	2782
9906	742	471	705	472	74	242	589	631	584	739	655	615	1161	1023	1237	1122	1358	1557
112268218	161	64	112	36	34	21	247	224	196	250	162	191	355	305	335	312	338	344
65220	2009	1024	1271	745	167	645	4381	3616	3017	4318	3253	3355	4623	4054	4888	3965	4315	4983
2782	4654	3928	3310	2070	305	2040	7180	6932	6338	9970	6656	7170	12767	11803	13506	10737	11620	14623
105378949	17	17	14	15	14	5	12	21	15	32	21	21	6	9	5	9	12	19
163688	9	7	18	34	49	17	39	23	14	43	45	59	19	20	20	24	28	23
339456	25	10	13	19	19	1	30	36	45	49	43	57	5	1	1	0	0	3
85452	12	33	20	132	237	64	8	11	7	2	11	10	2	11	2	6	8	5
107984872	2	2	4	33	62	9	1	2	0	0	2	1	1	0	0	1	0	0
105378589	3	9	5	35	85	30	1	0	0	0	0	0	0	0	0	0	0	0
2563	26	18	17	54	106	21	2	0	0	0	0	0	4	3	2	8	3	1
105378590	3	1	2	25	36	6	0	0	0	1	0	0	0	0	0	2	1	0
105378591	1	3	0	8	13	0	0	1	0	2	3	2	0	1	0	0	1	0
5590	592	363	414	400	217	316	1284	930	749	1119	946	1058	629	511	637	509	564	658
100506504	15	29	21	39	15	13	78	31	40	53	38	57	27	23	29	28	26	36
199990	450	344	312	241	105	152	1198	1229	1127	1303	1149	1177	1383	1101	1283	1271	1206	1488
112268219	103	49	76	62	41	54	139	143	156	242	140	165	187	145	208	149	159	186
105378593	13	14	12	24	18	13	65	60	46	61	50	30	2	3	8	2	3	3
6497	1825	2468	1688	1485	302	732	2168	2057	1921	2730	2007	2266	2868	2585	3122	2955	3236	3651
79906	276	174	193	225	140	187	196	224	183	236	213	173	297	255	312	284	288	353
100129534	42	24	29	40	35	24	29	29	22	39	17	27	87	87	126	100	96	117
11079	2623	1572	1551	966	142	1014	2910	2859	2646	3448	2665	2744	3298	3054	3374	2818	3102	3181
5192	712	301	373	189	44	205	496	548	480	691	518	464	578	556	610	605	611	643
9651	1394	822	1378	782	237	369	224	244	248	396	288	261	55	51	43	57	54	60
55229	819	574	592	347	104	290	985	972	779	1075	823	842	879	709	913	761	803	901
388585	56	23	26	15	13	3	0	0	1	3	6	0	0	1	3	0	0	0
115110	424	166	313	121	107	165	24	23	16	27	12	15	92	67	106	87	98	102
8764	1736	649	1164	457	184	466	74	60	55	59	35	44	387	310	422	371	405	369
100996583	24	13	14	18	16	16	3	1	1	2	1	0	1	1	3	1	3	7
127281	488	178	311	216	79	347	176	249	268	273	262	253	542	479	518	469	525	567
79258	87	27	49	98	94	62	20	34	30	35	33	34	67	56	65	55	75	65
105378597	0	5	3	8	27	3	0	0	0	0	0	0	2	1	5	1	2	2
100287898	15	15	27	81	142	34	0	0	0	1	0	0	37	30	37	50	59	58
105378603	0	0	1	2	8	4	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	2	1	9	4	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	1	1	5	12	1	0	0	0	0	0	0	0	0	0	0	0	0
112268220	2	0	0	11	20	11	0	0	0	2	0	0	0	0	0	0	0	0
107985732	0	1	2	8	11	4	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	2	1	8	24	4	0	0	0	0	0	0	0	0	0	0	0	0
105378598	4	3	2	50	51	21	0	0	1	1	0	0	0	0	0	0	0	0
107984904	0	1	2	13	21	4	0	0	1	0	0	0	0	0	0	0	0	0
105378599	0	3	2	6	14	0	0	0	0	0	0	0	1	0	0	0	0	0
140625	1	1	0	20	32	6	0	0	0	0	0	0	0	0	0	0	0	0
440556	12	22	18	45	65	9	0	0	0	0	0	0	15	14	15	3	5	10
63976	57	75	38	113	198	64	6	10	4	7	12	12	210	158	264	116	119	153
100422968	2	2	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	9	21	10	58	104	15	0	0	0	0	0	0	0	0	3	1	1	1
107984909	5	10	4	40	54	11	0	0	0	0	0	0	4	6	9	3	3	3
105378605	4	4	8	23	68	6	0	0	0	0	0	0	0	0	0	1	2	0
105378604	32	69	26	118	231	34	2	0	1	3	1	0	21	21	18	8	12	18
27237	1557	741	763	405	143	256	1148	1205	1086	1453	1170	1283	581	492	553	592	560	625
1953	2680	461	2473	1559	318	835	3048	3864	3401	2867	3404	3736	726	655	959	827	893	1160
105378608	9	12	5	40	38	10	30	54	49	37	35	62	0	1	0	0	0	0
693135	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	3	5	3	18	15	3	0	0	0	0	1	0	0	0	0	0	0	0
127262	1402	768	884	744	143	686	1390	1123	1071	1254	887	1022	1390	1296	1409	1164	1360	1549
49856	580	340	408	122	59	92	582	580	584	733	511	618	705	622	726	675	666	770
7161	486	277	540	169	139	120	17	27	23	30	30	24	13	11	7	13	7	8
105378610	10	25	18	27	43	5	0	6	2	0	1	2	0	0	0	0	0	0
105378609	3	4	3	11	24	1	0	0	0	0	0	0	0	0	0	0	0	0
57212	597	477	487	735	171	504	0	1	0	1	0	1	14	15	16	10	17	12
148870	4	21	21	63	123	19	3	1	1	1	1	0	0	0	0	0	2	0
388588	36	17	10	23	16	7	2	4	2	6	12	9	9	2	0	2	3	1
57470	1370	892	983	691	165	820	1797	1425	1516	2007	1428	1478	1680	1529	1754	1489	1585	2091
9731	1059	1101	831	614	175	606	962	935	824	1065	855	954	1563	1367	1767	1353	1594	1832
1677	195	133	123	82	87	106	169	151	180	207	160	186	236	201	224	169	200	231
107984910	18	12	15	25	37	12	7	8	12	12	5	4	5	0	4	7	1	4
339448	817	547	496	353	131	556	661	613	520	1035	759	743	404	355	395	530	583	590
100133612	9	13	14	17	34	5	0	1	7	5	2	1	22	11	11	17	18	30
728716	0	4	2	2	24	0	0	4	0	0	0	0	0	0	0	0	0	0
105376672	0	16	2	0	32	7	0	0	0	0	0	0	0	0	0	0	0	0
105376673	1	11	6	29	63	11	1	0	1	0	0	2	0	0	3	0	0	0
284661	2	4	3	32	56	5	0	0	0	0	0	0	0	0	1	0	0	0
105376674	0	9	6	12	30	2	0	0	0	0	0	0	0	0	0	0	0	0
105376679	1	2	0	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0
107985376	1	2	1	8	28	0	0	0	0	0	0	0	0	2	0	0	0	0
55966	104	436	125	158	260	221	0	0	0	0	0	2	0	0	0	0	0	0
105376680	1	6	1	16	34	5	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	4	2	17	30	4	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	1	1	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	1	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0
107984911	2	10	13	23	78	13	0	0	0	0	0	0	0	0	0	0	0	0
105376686	2	8	4	34	60	10	0	0	0	0	0	0	0	0	0	0	0	0
100616421	2	2	1	1	0	0	1	3	1	0	1	2	2	1	0	0	0	2
261734	406	301	393	344	207	204	831	849	650	1056	790	774	526	469	587	570	565	657
8514	966	423	625	234	145	181	2031	2023	1614	2312	1554	1603	555	464	546	632	599	737
26038	22	45	39	154	262	68	45	139	120	55	97	100	159	143	214	92	136	125
105376687	0	3	1	4	5	1	0	0	1	0	0	0	0	0	0	0	0	0
6146	12021	10655	6543	6402	1511	10308	11826	11442	9915	12344	9715	11362	5698	5174	5744	5758	6151	6617
107985733	111	56	72	18	14	13	155	63	124	127	124	96	72	72	90	141	80	163
102724450	24	17	22	9	6	6	14	18	20	19	11	25	15	25	20	30	27	26
388591	812	518	826	227	92	115	769	777	582	1017	806	739	1232	1082	1290	955	1140	1231
23463	4885	2619	2758	1316	240	1848	4376	3976	3949	4780	3353	3710	3299	2974	3221	2999	3290	3611
148645	9	12	7	25	42	12	73	87	69	69	96	80	7	8	11	6	6	11
390992	4	6	6	4	6	4	1	1	5	0	2	0	0	0	0	0	0	0
387509	821	533	452	371	99	236	321	403	455	564	548	498	211	208	184	124	105	145
11332	950	374	451	279	79	230	1662	2090	1891	2224	1902	2122	2079	1926	2099	1917	1870	2335
54626	2427	928	1332	421	173	1273	1080	1492	1328	1437	1251	1272	27	21	33	21	20	15
83715	787	323	622	350	196	686	2916	2881	2897	4197	3045	3147	28	27	33	25	49	31
100422975	3	2	1	2	9	0	0	2	0	0	0	3	0	0	0	0	0	0
8718	624	323	555	164	52	153	107	77	79	101	81	83	170	119	183	115	107	157
57449	1358	879	1283	668	220	527	114	101	121	164	127	169	472	444	514	345	361	412
79707	1123	1190	855	900	200	670	586	523	435	672	376	465	891	780	888	798	1006	1118
80835	7	14	9	37	78	5	5	0	0	2	0	1	4	0	3	4	2	4
107984912	1	2	0	3	10	1	0	0	0	1	0	0	1	0	0	0	0	0
3104	714	387	482	312	92	210	502	384	296	466	362	343	568	420	574	519	527	735
9903	2783	2333	1547	1002	145	369	2722	2194	2049	2367	1629	1862	3059	2651	3397	2952	3246	4347
107984913	65	58	53	44	31	12	2	4	6	4	6	2	4	2	2	7	10	16
148479	1071	1086	794	383	78	240	1027	1246	1067	1275	1007	1104	868	808	1009	765	836	806
90326	613	256	387	208	72	138	683	670	585	735	589	614	893	824	935	824	926	1036
55735	1223	961	787	711	153	668	2048	2016	1731	2278	1700	1819	2091	1927	2167	1950	2071	2319
100505887	0	0	0	2	20	1	0	0	0	0	0	0	0	0	0	0	0	0
110841581	13	23	7	11	7	6	23	19	14	62	19	30	9	3	11	5	19	28
23261	609	948	423	560	397	526	1012	1170	1090	1313	1157	1279	833	626	752	701	666	752
105376692	3	10	0	12	48	4	0	0	0	0	0	0	0	0	0	0	0	0
102725193	2	8	4	9	30	1	0	0	0	0	0	0	0	0	0	0	0	0
101928836	1	5	7	6	31	2	1	0	0	1	1	1	0	0	0	0	0	0
105376691	0	0	1	3	15	0	0	3	0	0	0	0	0	0	0	0	0	0
105376689	42	54	28	54	97	27	1	0	1	0	0	0	31	40	40	25	40	49
9341	3001	2682	1616	1317	230	1441	1840	1953	1626	1967	1451	1688	4278	3814	4105	4053	4378	4629
8863	2748	2987	2260	1889	229	759	567	456	348	474	264	306	1179	1097	1428	1312	1547	1810
