"","group","fastq_1","fastq_2","strandedness"
"HPV16_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908726.fastq.gz","","auto"
"HPV18_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908727.fastq.gz","","auto"
"HPV16_2","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908728.fastq.gz","","auto"
"HPV16_3","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908729.fastq.gz","","auto"
"nd_11","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908730.fastq.gz","","auto"
"HPV16_4","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908731.fastq.gz","","auto"
"HPV16_5","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908732.fastq.gz","","auto"
"HPV58_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908733.fastq.gz","","auto"
"HPV16_6","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908734.fastq.gz","","auto"
"HPV52_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908735.fastq.gz","","auto"
"HPV16_7","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908736.fastq.gz","","auto"
"HPV33_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908737.fastq.gz","","auto"
"HPV18_2","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908738.fastq.gz","","auto"
"HPV16_8","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908739.fastq.gz","","auto"
"HPV18_3","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908740.fastq.gz","","auto"
"HPV16_9","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908741.fastq.gz","","auto"
"HPV16_10","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908742.fastq.gz","","auto"
"nd_12","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908743.fastq.gz","","auto"
"HPV59_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908744.fastq.gz","","auto"
"HPV33_2","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908745.fastq.gz","","auto"
"HPV16_11","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908746.fastq.gz","","auto"
"nd_13","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908747.fastq.gz","","auto"
"HPV45_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908748.fastq.gz","","auto"
"HPV16_12","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908749.fastq.gz","","auto"
"HPV59_2","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908750.fastq.gz","","auto"
"HPV16_13","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908751.fastq.gz","","auto"
"HPV16_14","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908752.fastq.gz","","auto"
"HPV16_15","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908753.fastq.gz","","auto"
"nd_14","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908754.fastq.gz","","auto"
"nd_15","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908755.fastq.gz","","auto"
"nd_16","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908756.fastq.gz","","auto"
"HPV16_16","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908757.fastq.gz","","auto"
"HPV16_17","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908758.fastq.gz","","auto"
"HPV16_18","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908759.fastq.gz","","auto"
"HPV16_19","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908760.fastq.gz","","auto"
"HPV16_20","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908761.fastq.gz","","auto"
"HPV16_21","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908762.fastq.gz","","auto"
"HPV16_22","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908763.fastq.gz","","auto"
"HPV16_23","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908764.fastq.gz","","auto"
"HPV18_4","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908765.fastq.gz","","auto"
"HPV18_5","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908766.fastq.gz","","auto"
"HPV16_24","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908767.fastq.gz","","auto"
"HPV16_25","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908768.fastq.gz","","auto"
"HPV16_26","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908769.fastq.gz","","auto"
"HPV16_27","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908770.fastq.gz","","auto"
"HPV16_28","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908771.fastq.gz","","auto"
"HPV18_6","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908772.fastq.gz","","auto"
"HPV16_29","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908773.fastq.gz","","auto"
"HPV33_3","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908774.fastq.gz","","auto"
"HPV33_4","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR11908775.fastq.gz","","auto"
"normal_1","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124279/FASTQ/SRR7091815.fastq.gz","","auto"
"normal_2","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124280/FASTQ/SRR7091816.fastq.gz","","auto"
"normal_3","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124281/FASTQ/SRR7091817.fastq.gz","","auto"
"normal_4","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124285/FASTQ/SRR7091821_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124285/FASTQ/SRR7091821_2.fastq.gz","auto"
"normal_5","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124286/FASTQ/SRR7091822_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124286/FASTQ/SRR7091822_2.fastq.gz","auto"
"normal_6","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124287/FASTQ/SRR7091823_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124287/FASTQ/SRR7091823_2.fastq.gz","auto"
"normal_7","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124288/FASTQ/SRR7091824_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124288/FASTQ/SRR7091824_2.fastq.gz","auto"
"normal_8","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026408/FASTQ/SRR27644847_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026408/FASTQ/SRR27644847_2.fastq.gz","auto"
"normal_9","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026410/FASTQ/SRR27644845_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026410/FASTQ/SRR27644845_2.fastq.gz","auto"
"normal_10","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026412/FASTQ/SRR27644843_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026412/FASTQ/SRR27644843_2.fastq.gz","auto"
"normal_11","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR14301224_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR14301224_2.fastq.gz","auto"
"normal_12","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR14301225_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR14301225_2.fastq.gz","auto"
"normal_13","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR14301226_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR14301226_2.fastq.gz","auto"
"normal_14","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765608/FASTQ/SRR17383011_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765608/FASTQ/SRR17383011_2.fastq.gz","auto"
"normal_15","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765614/FASTQ/SRR17383005_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765614/FASTQ/SRR17383005_2.fastq.gz","auto"
"normal_16","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765620/FASTQ/SRR17382999_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765620/FASTQ/SRR17382999_2.fastq.gz","auto"
"normal_17","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765626/FASTQ/SRR17382993.fastq.gz","","auto"
"normal_19","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765630/FASTQ/SRR17382989.fastq.gz","","auto"
"normal_20","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765633/FASTQ/SRR17382986.fastq.gz","","auto"
"normal_21","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765635/FASTQ/SRR17382984.fastq.gz","","auto"
"normal_22","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765637/FASTQ/SRR17382982.fastq.gz","","auto"
"normal_23","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765640/FASTQ/SRR17382979.fastq.gz","","auto"
"normal_24","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765642/FASTQ/SRR17382977.fastq.gz","","auto"
"normal_25","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765645/FASTQ/SRR17382974.fastq.gz","","auto"
"normal_26","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/GEO/GSM5765648/FASTQ/SRR17382971.fastq.gz","","auto"
"normal_27","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/SRA/SRR17383002_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/SRA/SRR17383002_2.fastq.gz","auto"
"normal_28","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/SRA/SRR17383008_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/SRA/SRR17383008_2.fastq.gz","auto"
"normal_29","normal","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/SRA/SRR17382996_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSE63514/SRA/SRR17382996_2.fastq.gz","auto"
"nd_1","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124282/FASTQ/SRR7091818.fastq.gz","","auto"
"nd_2","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124283/FASTQ/SRR7091819.fastq.gz","","auto"
"nd_3","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/SRR7091820.fastq.gz","","auto"
"nd_4","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124289/FASTQ/SRR7091825_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124289/FASTQ/SRR7091825_2.fastq.gz","auto"
"nd_5","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124290/FASTQ/SRR7091826_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124290/FASTQ/SRR7091826_2.fastq.gz","auto"
"nd_6","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124291/FASTQ/SRR7091827_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124291/FASTQ/SRR7091827_2.fastq.gz","auto"
"nd_7","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124292/FASTQ/SRR7091828_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM3124292/FASTQ/SRR7091828_2.fastq.gz","auto"
"nd_8","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026407/FASTQ/SRR27644848_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026407/FASTQ/SRR27644848_2.fastq.gz","auto"
"nd_9","cancer","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026409/FASTQ/SRR27644846_1.fastq.gz","s3://pacinfo-fs/tmp/cduong/RNAseq/GSM8026409/FASTQ/SRR27644846_2.fastq.gz","auto"
