"","GSM3346551","GSM3346553","GSM3346555","GSM3346557","GSM3346559","GSM3346561","GSM3346563","GSM3346565","GSM3346567","GSM3346569","GSM3346571","GSM3346573","GSM3346575","GSM3346577","GSM3346578","GSM3346580","GSM3346582","GSM3346584","GSM3346586","GSM3346588","GSM3346591","GSM3346593","GSM3346595","GSM3346601","GSM3346603","GSM3346605","GSM3346607","GSM3346609","GSM3346611","GSM3346613","GSM3346615","GSM3346617","GSM3346619","GSM3346621","GSM3346623","GSM3346625","GSM3346626","GSM3346628","GSM3346630","GSM3346632","GSM3346634","GSM3346636","GSM3346638","GSM3346640","GSM3346642","GSM3346644","GSM3346646","GSM3346648","GSM3346650"
"A1BG",1.64667,1.43645,1.2395,1.87697,1.58793,1.46901,1.01383,3.38226,1.9133,1.88929,1.34927,1.14253,1.40103,2.18149,0.64191,1.08211,0.67359,1.18228,2.01234,1.15763,0.99287,1.76023,1.28487,1.06501,1.28577,1.48872,1.50215,0.34072,1.55882,1.38779,1.26539,1.40817,1.52945,1.52889,1.49407,1.05025,0.94487,1.25717,1.22565,0.92459,0.60005,1.65823,1.58374,1.92559,0.92991,1.26635,0.84852,2.1045,1.51178
"A1BG-AS1",2.41854,1.38857,2.06584,2.08552,3.2288,1.26639,1.40005,4.03992,2.014,2.38647,2.65202,1.36224,1.65576,2.05317,1.10041,0.90897,0.91416,0.90945,1.46733,1.38025,1.35391,2.94839,1.5064,0.31324,1.50745,2.16927,1.25179,0.34072,1.938,1.71161,1.30902,1.2425,1.57079,1.43623,1.49407,0.09133,2.17319,1.21526,2.02866,0.79851,0.90007,2.21097,0.74788,2.13954,2.61259,1.61569,0.7273,4.34332,1.63776
"A1CF",4.73417,3.44749,4.5965,5.21379,4.34036,5.82539,4.1036,5.35525,3.02099,4.62379,4.46656,3.99884,5.30692,2.30981,1.69647,3.67918,2.8387,3.22854,3.47967,2.53788,3.15913,3.65248,2.92418,1.50355,2.83755,3.40278,4.2978,1.32028,4.21303,3.93207,2.92348,1.44958,3.55494,4.44768,3.42757,2.23749,3.21254,2.84958,4.81806,2.5216,2.91452,2.44128,1.67173,5.56282,3.71962,3.88638,2.94962,4.88064,4.78731
"A2M",20.94357,11.3001,10.27756,9.072,38.00458,10.48571,12.35909,7.14033,25.07426,14.07025,25.03133,8.65684,15.45375,35.9304,29.75705,4.97772,9.04533,8.50334,27.6277,13.71347,5.55104,21.38681,17.85525,4.88653,5.1874,19.22572,22.03146,26.36303,14.78775,34.92607,5.45426,13.00482,4.83638,21.58978,6.63542,8.81295,11.05493,12.19452,6.46635,5.8417,10.11511,18.79329,18.82891,24.81872,11.55739,9.12644,6.14168,17.28373,10.58248
"A2M-AS1",1.59521,2.15468,1.03292,2.29407,1.6938,2.07688,1.3035,1.87903,0.7049,1.93901,0.97706,1.75773,1.27366,0.72716,0.82531,1.21197,1.10661,1.22775,1.38348,0.35619,0.72209,1.27617,1.06334,0.93972,0.62071,0.93577,1.62732,0.8092,1.13752,1.06397,1.74536,0.7455,0.70272,1.11192,1.66984,0.95892,0.56692,0.20953,1.81734,1.30283,1.02866,1.19761,0.74788,1.49768,1.59412,1.44102,1.29299,1.02986,1.3858
"A2ML1",8.59355,3.87842,3.51193,2.13766,2.5407,38.29563,2.51044,2.16089,2.46715,2.23732,4.04782,1.45013,10.57138,2.73755,6.64834,14.45703,1.97265,8.86712,13.20596,1.51382,17.23981,5.3247,10.6334,5.70096,16.04992,6.7205,5.29923,7.36802,4.25516,7.63285,5.62879,5.38416,6.61385,3.61374,3.95489,2.8311,8.74001,15.25362,1.47923,19.4163,5.52902,5.43531,19.75276,1.45489,5.44659,10.43646,26.26376,8.68664,5.37523
"A2MP1",2.10979,1.24493,2.0142,1.77269,2.11725,1.77295,2.12422,2.06694,1.05735,2.38647,1.86107,1.53802,1.82558,1.6682,1.00871,1.42839,1.97265,2.04626,1.92849,1.06858,1.80522,1.89225,2.79127,0.68913,1.24143,1.36111,1.71078,0.72402,1.8116,2.03543,1.789,1.20108,2.10816,2.27017,1.66984,0.50229,1.37005,1.88575,1.31018,1.09269,2.05731,2.07279,1.75971,1.96838,1.46128,2.44536,2.1011,1.83584,1.25982
"A3GALT2",0,0.04788,0.25823,0.4171,0.10586,0.15197,0.24139,0.14093,0.1007,0,0.13958,0.21972,0.29719,0.12832,0.22925,0.17314,0.19245,0.04547,0.16769,0.1781,0.13539,0.35205,0.31014,0.06265,0.26602,0.04253,0.25036,0.08518,0.12639,0.2313,0.2618,0,0.28936,0.23165,0.26366,0,0.09449,0.33524,0.08453,0,0.17144,0.18425,0.04399,0.08558,0,0,0.04041,0.22388,0.04199
"A4GALT",38.64526,39.98127,31.71066,40.45903,30.70007,71.27242,55.37453,38.70811,52.41426,19.43981,62.99706,34.58341,39.78067,40.4217,195.69045,174.52314,86.94106,134.00714,171.30014,21.32711,271.82037,207.9273,156.62108,165.7036,252.80834,233.77117,125.72119,220.95539,136.83931,242.16952,183.65569,169.80814,162.16335,122.17221,193.26209,165.4826,182.40628,230.60629,36.26227,239.92996,154.59828,195.02639,209.9336,39.66716,91.21928,106.28593,201.05917,87.58286,38.04654
"A4GNT",0.87479,0.71823,0.25823,0.72993,1.21742,0.40524,0.48278,0.89254,0.5035,0.34803,0.18611,0.39549,0.25473,0.59884,0.13755,0.5627,0.28868,0.40925,0.25154,0.22262,0.36104,0.30804,0.31014,0.18794,0.26602,0.34028,0.12518,0.08518,0.58982,0.18504,0.30544,0.2485,0.70272,0.88027,0.35155,0.09133,0.3307,0.12572,0.25358,0.29419,0.30002,0.27637,0.17597,0.59907,0.44281,0.52401,0.20203,0.40299,0.29396
