"",gene_symbol,GSM931711,GSM931712,GSM931713,GSM931714,GSM931715,GSM931716,GSM931717,GSM931718,GSM931719,GSM931720,GSM931721,GSM931722,GSM931723,GSM931724,GSM931725,GSM931726,GSM931727,GSM931728,GSM931729,GSM931730,GSM931731,GSM931732,GSM931733,GSM931734
ENSG00000000003,TSPAN6,0,0.263,0,0,0.7512,3.397,0,0,0.5903,1.6863,0,0,1.5614,0,0.4351,0,0,0,0,0,0,0,1.43,0
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,0,0,0,0,0,0,0.6343,0,0,1.2003,0,0,0,0,0,0,0,0.292,0,0,0,0,0,0
ENSG00000000457,SCYL3,0,0,0,0,0.5885,1.959,0.2426,0.2865,0,0,0,0,0,0,0,0,0.5245,0.7593,0,0,0.7884,0,0,0
ENSG00000000460,C1orf112,0,0,0,0,0.4954,0,0.487,0,0,0,0,0,0,0,0,0,0,0,0.4273,0,0,0,0,0
ENSG00000000938,FGR,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000971,CFH,0.7315,0.7393,2.3723,1.047,0.4557,0.8981,2.6367,0,0,0,0.47,0,2.3439,6.8539,2.7923,0,1.0578,2.7912,0,6.9232,0.2072,0.673,0,0.4801
ENSG00000001036,FUCA2,0,0,0,0,0,0,0,0,0,0,1.2125,0,0,0,0,0,0,0,0,0,0,0.1984,0,0
ENSG00000001084,GCLC,0,0,0,0,0,0.306,0.6445,0,0,4.1564,0,0,0,0,0,0,0,0,0,0,0,3.3009,0,0
ENSG00000001167,NFYA,0,0,0,0,0.4011,0,0,0,0,0.4759,0,0.4342,0,0,0,0.8372,0,0,0,0.4218,0,0,0,0
ENSG00000001460,STPG1,0,0.4999,0,0,0,0,0,0,0,0,0,0,0.5197,0,0,0.4484,0.5253,0,0,0,0,0.4662,0,0
ENSG00000001461,NIPAL3,0,0,0,0,0,0,0,0.9999,0,1.0592,0,0,1.1352,0,0,0,0,0,0,0,0.2327,0,0.2769,0
