"","GSM931711","GSM931712","GSM931713","GSM931714","GSM931715","GSM931716","GSM931717","GSM931718","GSM931719","GSM931720","GSM931721","GSM931722","GSM931723","GSM931724","GSM931725","GSM931726","GSM931727","GSM931728","GSM931729","GSM931730","GSM931731","GSM931732","GSM931733","GSM931734"
"A1BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1BG-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1CF",0,0,0,0,0,146.17746,0,195.12195,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",1349.2242,551.64805,707.38033,925.92593,767.75432,730.8873,1248.82922,585.36585,1223.99021,496.86972,1218.9176,0,1075.26882,931.64085,737.91662,1138.08801,618.12338,163.23865,0,380.66235,871.68759,171.02788,1817.70969,677.04807
"A2M-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ML1",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2MP1",224.8707,0,0,462.96296,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"AACS",0,0,0,0,0,0,156.10365,0,0,0,0,0,0,116.45511,0,0,0,0,333.33333,0,174.33752,0,0,0
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.33333,0,174.33752,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0,0,0,215.05376,0,0,0,0,0,0,0,0,0,0,0
"AAED1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAGAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.45422,0,0,0,0,0,0,0,0
"AAK1",0,1241.20811,0,462.96296,1919.3858,1607.95205,0,0,0,198.74789,0,0,0,0,491.94441,0,618.12338,163.23865,0,380.66235,871.68759,0,0,338.52404
"AAMDC",224.8707,0,0,462.96296,0,146.17746,0,0,0,99.37394,0,0,215.05376,0,0,126.45422,123.62468,0,0,0,0,0,0,338.52404
"AAMP",0,0,0,462.96296,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AANAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS",0,0,0,0,383.87716,0,0,0,0,198.74789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
