"",gene_symbol,GSM931711,GSM931712,GSM931713,GSM931714,GSM931715,GSM931716,GSM931717,GSM931718,GSM931719,GSM931720,GSM931721,GSM931722,GSM931723,GSM931724,GSM931725,GSM931726,GSM931727,GSM931728,GSM931729,GSM931730,GSM931731,GSM931732,GSM931733,GSM931734
ENSG00000000003,TSPAN6,0,0,0,0,191.93858,438.53238,0,0,407.99674,198.74789,0,0,430.10753,0,0,0,0,0,0,0,0,0,259.67281,0
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,0,0,0,0,0,0,156.10365,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000457,SCYL3,0,0,0,0,191.93858,292.35492,0,0,0,0,0,0,0,0,0,0,123.62468,163.23865,0,0,174.33752,0,0,0
ENSG00000000460,C1orf112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000938,FGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000971,CFH,224.8707,137.91201,471.58689,462.96296,0,146.17746,468.31096,0,0,0,0,0,430.10753,815.18575,368.95831,0,123.62468,489.71596,0,1332.31823,0,171.02788,0,0
ENSG00000001036,FUCA2,0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001084,GCLC,0,0,0,0,0,0,156.10365,0,0,397.49578,0,0,0,0,0,0,0,0,0,0,0,513.08363,0,0
ENSG00000001167,NFYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.45422,0,0,0,0,0,0,0,0
ENSG00000001460,STPG1,0,0,0,0,0,0,0,0,0,0,0,0,215.05376,0,0,0,123.62468,0,0,0,0,0,0,0
ENSG00000001461,NIPAL3,0,0,0,0,0,0,0,195.12195,0,99.37394,0,0,215.05376,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001497,LAS1L,0,0,0,0,0,0,0,0,0,99.37394,243.78352,0,0,0,0,0,123.62468,163.23865,0,0,0,0,0,0
ENSG00000001561,ENPP4,0,0,0,0,0,0,0,0,0,99.37394,0,0,0,116.45511,0,126.45422,0,0,0,190.33118,0,0,0,0
ENSG00000001617,SEMA3F,0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001626,CFTR,0,3447.8003,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,ANKIB1,0,0,0,0,383.87716,0,312.20731,0,0,0,487.56704,0,430.10753,116.45511,0,252.90845,0,816.19327,0,190.33118,0,0,0,0
ENSG00000001630,CYP51A1,0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,122.9861,0,0,163.23865,0,0,0,0,0,0
ENSG00000001631,KRIT1,0,0,0,0,0,0,0,0,815.99347,397.49578,0,0,0,0,245.97221,126.45422,247.24935,0,0,0,348.67503,513.08363,0,0
ENSG00000002016,RAD52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002330,BAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002549,LAP3,0,137.91201,0,0,0,0,0,0,0,298.12183,0,0,0,0,0,0,123.62468,0,0,0,0,0,0,0
ENSG00000002586,CD99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587,HS3ST1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002726,AOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,WNT16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,HECW1,0,1103.2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,MAD1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002834,LASP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002919,SNX11,0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002933,TMEM176A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,M6PR,0,2068.68018,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
