"","GSM2277340","GSM2277341","GSM2277342","GSM2277343","GSM2277344","GSM2277345","GSM2277346","GSM2277347","GSM2277348","GSM2277349","GSM2277350","GSM2277351","GSM2277352","GSM2277353","GSM2277354","GSM2277355","GSM2277356","GSM2277357","GSM2277358","GSM2277359","GSM2277360","GSM2277361","GSM2277362","GSM2277363","GSM2277364","GSM2277365","GSM2277366","GSM2277367","GSM2277368","GSM2277369","GSM2277370","GSM2277371","GSM2277372","GSM2277373","GSM2277374","GSM2277375","GSM2277376","GSM2277377","GSM2277378","GSM2277379","GSM2277380","GSM2277381","GSM2277382","GSM2277383","GSM2277384","GSM2277385","GSM2277386","GSM2277387","GSM2277388","GSM2277389","GSM2277390","GSM2277391","GSM2277392","GSM2277393","GSM2277394","GSM2277395","GSM2277396","GSM2277397","GSM2277398","GSM2277399","GSM2277400","GSM2277401","GSM2277402","GSM2277403","GSM2277404","GSM2277405","GSM2277406","GSM2277407","GSM2277408","GSM2277409","GSM2277410","GSM2277411","GSM2277412","GSM2277413","GSM2277414","GSM2277415","GSM2277416","GSM2277417","GSM2277418","GSM2277419","GSM2277420","GSM2277421","GSM2277422","GSM2277423","GSM2277424"
"A1BG",2.59364,3.06957,2.20851,5.09076,4.22292,4.93556,2.04886,3.21664,2.56199,4.0688,4.2014,4.80319,5.73165,3.16433,2.82996,5.71228,3.32245,6.05867,4.52302,3.60031,5.45359,6.82945,5.71148,6.22532,3.29196,2.74833,3.79967,2.17328,3.84798,4.12067,5.01586,2.92581,3.29977,2.51119,3.53671,3.36779,2.21876,2.81184,3.39403,3.86378,4.498,3.93688,4.26435,2.50638,3.05928,1.73766,2.10146,2.35604,2.53393,2.52048,3.38043,5.08385,3.48728,3.42706,4.34844,2.04705,3.51484,2.66946,2.99608,4.1545,3.56416,3.2608,4.84608,9.42394,5.77063,3.93708,2.69623,4.12889,2.85599,3.41227,5.55446,4.69118,1.80638,2.91103,2.98488,2.81544,5.00064,3.07909,3.14676,5.78927,6.17928,6.7984,2.96025,2.11313,10.56609
"A1BG-AS1",4.5648,3.27421,1.98005,9.5152,3.03336,3.64954,1.74533,4.23242,4.95543,4.28523,3.51076,7.18234,7.65161,4.70912,1.55303,6.04058,3.83927,10.03612,4.81587,2.37093,8.00726,8.39047,6.09457,5.03621,3.17522,3.84766,4.71606,2.67481,2.31866,6.54655,6.88798,9.12163,3.29977,2.92118,5.5954,4.151,1.99688,6.09233,4.0435,3.94263,6.87929,2.17934,6.05263,3.89383,3.53917,0.9066,2.1521,2.09425,3.47878,3.22061,6.42836,6.35481,5.88678,2.10896,3.40201,1.85514,4.30851,2.59921,3.88853,4.72906,3.055,3.55724,5.77613,9.90585,5.5219,4.64161,2.10306,5.03386,2.37329,3.18478,6.97537,3.8027,3.50438,3.75075,4.65212,2.59243,8.43619,2.4032,2.45202,8.36227,9.39251,8.06096,6.58505,2.41029,8.17702
"A1CF",3.63109,4.35587,4.6455,4.98415,4.04448,3.82332,3.79419,3.97848,5.86562,3.85238,4.25895,2.10981,4.85637,4.11113,2.31228,4.92438,6.49723,3.5612,2.78214,3.11734,4.4581,3.78547,3.90053,2.51811,3.61882,4.58055,4.20198,2.54942,3.74931,3.7219,3.63827,3.14094,4.82591,3.79241,3.80065,3.87687,4.17866,5.42284,5.15389,4.02148,2.44744,3.72597,4.20933,4.29664,5.69866,4.38191,4.81058,4.12306,4.123,3.72471,3.21418,6.35481,3.74323,4.97112,4.16939,5.18158,3.25973,4.35543,3.5698,3.49155,4.01161,2.89026,3.72022,1.71344,2.83557,1.53339,1.91432,2.37553,4.50523,3.77624,4.13355,1.9902,3.68501,2.63113,3.84539,4.73886,6.79476,4.35579,3.18762,2.00123,3.74876,5.63296,3.98728,4.85359,2.4137
"A2M",29.6712,24.14732,12.67992,20.41636,11.41972,8.3418,10.24432,17.69153,27.37287,12.03327,18.47463,29.8965,8.15983,19.9826,25.02096,11.42457,19.63936,14.24481,17.45754,21.2506,21.64124,22.90793,53.07501,11.54132,14.94222,13.92486,12.42714,14.79502,7.99196,12.76079,16.53115,11.44507,13.73528,22.39571,21.37864,16.60398,8.24638,14.12617,27.25698,8.59493,7.54076,21.65282,16.50717,40.63909,8.21807,12.99464,18.17891,15.51057,13.78629,13.91865,24.16177,20.86839,17.56437,30.99419,12.32911,13.3058,23.15823,17.49197,13.00426,15.82247,12.45143,24.75246,14.48929,22.11413,18.20734,7.29396,27.74419,20.47479,11.786,13.1941,16.98632,21.71449,23.48293,11.81208,32.99507,9.31046,13.39865,12.84208,11.85142,12.65062,12.15259,10.24616,12.86804,13.37213,12.53646
"A2M-AS1",1.86742,2.25102,2.01813,1.54589,1.90329,1.77263,1.8971,2.05978,1.68552,1.99112,2.64746,1.21202,1.69408,2.29227,0.96633,1.64146,2.58413,1.29498,1.67579,1.18547,1.86115,1.75614,1.49752,1.329,2.03121,2.5193,2.72682,1.79713,1.57866,1.82772,1.87212,2.19436,1.36115,1.33247,2.26983,1.48809,1.62709,1.74067,3.01691,2.405,1.38909,1.54663,2.11842,1.656,2.87932,0.67995,1.87359,2.02881,1.76087,2.29644,2.66001,3.23891,2.04758,2.10896,2.66022,1.53528,1.78576,2.49384,1.7849,1.76787,1.75894,1.03753,2.44751,1.60635,1.84063,1.57483,0.83583,1.69681,1.85036,2.68432,2.13136,0.8174,2.05927,2.01533,1.50589,1.89554,2.90113,2.4783,1.30774,0.85767,1.64781,2.23376,1.63116,2.08011,1.23148
"A2ML1",2.853,2.39719,2.51314,4.79758,3.68762,2.39827,2.73182,2.05978,3.43846,4.0688,2.12947,2.33426,3.4164,2.1926,4.8834,3.02029,3.24862,2.45122,2.76587,4.82968,2.64023,1.95127,2.29852,3.63726,2.42811,2.88574,3.10679,2.25687,32.55984,2.45911,3.14375,2.15133,3.05228,4.40739,3.27278,2.74122,2.07084,3.07964,3.49878,2.60214,3.17506,1.75753,3.79665,1.52173,4.01905,3.47531,2.17742,2.81415,3.77942,5.01295,2.10584,2.41893,3.3913,2.74918,3.7857,3.19851,3.37311,2.45871,4.3985,1.90046,2.56126,3.48313,2.69227,3.10562,2.93506,6.38222,2.02217,1.97961,4.06275,2.36584,4.19814,3.66054,3.75727,2.63113,3.41514,4.54373,3.05382,4.35579,1.10341,3.78804,2.5541,4.22472,2.41653,2.37727,5.51703
"A2MP1",1.24495,1.69557,2.32275,2.0523,2.08172,2.81536,1.51768,1.7494,2.56199,1.90455,2.12947,1.39158,2.62583,1.7192,1.19065,2.88897,3.47011,1.20248,1.82222,1.84406,1.86115,2.06835,1.91544,2.02847,1.72769,2.06125,1.54222,2.21507,2.36799,2.49234,1.51889,2.40949,1.77362,1.63996,1.5836,1.05733,2.18178,2.00846,2.43029,1.81361,1.58753,1.68723,2.64115,1.3427,2.51941,1.511,1.51913,1.96336,1.93266,2.54849,2.05043,2.82892,2.71944,2.4479,2.25096,2.68675,2.09756,1.93184,2.16738,1.98886,2.43783,1.48218,1.76221,1.82053,2.08937,1.57483,0.56621,1.69681,2.05149,1.81988,1.9376,1.42157,1.77025,0.78374,2.09749,1.67254,3.01565,1.8024,1.10341,0.92914,1.7302,3.25352,1.93323,2.47632,1.25611
"A3GALT2",0.31124,0.11694,0.22847,0.15992,0.17843,0.13903,0.4553,0.05643,0.30339,0.12986,0.05755,0.35912,0.31058,0.22424,0.17256,0.45961,0.14766,0.185,0.37421,0.30734,0.51939,0.11708,0.24378,0.41968,0.32686,0.22903,0.24586,0.20897,0.09867,0.23262,0.35323,0.25816,0.16499,0.46124,0.26393,0.11748,0.11094,0.1339,0.31426,0.23656,0.06615,0,0.33014,0.08951,0.17996,0,0.20255,0.19634,0.12884,0.19604,0.16625,0.36899,0.28794,0.15064,0.23021,0.12794,0.19842,0.281,0.63746,0.30938,0.16972,0,0.2937,0.16064,0.19899,0.24866,0.05392,0.11312,0.36203,0.18199,0.38752,0.10662,0.18064,0,0.21513,0.13938,0.38173,0.4506,0.08173,0.57178,0.20598,0.2428,0.30207,0.13207,0.12315
"A4GALT",55.40006,25.93059,41.3906,38.64716,49.90178,44.5591,41.20493,39.44618,41.49754,54.01987,50.99229,54.27157,50.0319,25.16511,89.16089,41.95574,41.93668,72.98154,95.01586,69.45961,56.70006,31.02522,53.66706,73.23493,45.62047,56.98201,54.35758,43.08945,164.72318,50.01299,82.33786,45.52211,49.29027,55.39991,50.83366,41.43164,36.31366,36.95567,38.80086,41.35819,55.69578,62.28702,47.67821,31.19542,56.62668,39.05947,47.29556,63.48209,47.54336,74.83024,27.70845,39.31786,60.21155,43.49731,52.92307,48.93719,47.9605,39.30426,66.16873,48.66072,30.31854,66.2536,34.21626,67.89521,40.84215,97.34952,109.76344,33.65331,97.74736,21.52003,49.53806,79.75012,31.5755,48.64785,64.59182,78.24692,30.95813,38.82664,49.04037,73.33069,61.42205,59.82592,30.56915,35.39489,111.54737
"A4GNT",0.62247,0.70162,0.53309,0.74629,0.83269,0.55612,0.60707,0.36681,0.74163,0.69256,0.23021,0.53868,0.81881,0.79731,0.34512,0.32829,0.95982,0.69374,0.43929,0.96594,0.9955,0.74148,0.55722,0.41968,0.46694,0.59547,0.78228,0.45973,0.69066,0.66462,0.74178,0.8175,0.61871,0.87123,0.7918,0.35244,0.73959,0.46864,0.73328,0.67025,0.33074,0.56241,0.82536,0.44757,0.8398,0.37775,0.43042,0.52356,0.30064,0.36407,0.49875,0.49199,0.79983,0.60256,0.84411,1.02352,0.45353,0.63224,0.44622,0.30938,0.5246,0.37055,0.44055,0.589,0.49747,0.37299,0.32355,0.50904,0.52293,0.59146,0.45211,0.28431,0.46966,0.22393,0.80673,0.83627,1.2597,0.9012,0.3678,0.42883,1.07108,1.01976,0.42289,0.36319,0.34481
